date,regime,prob_regime_0,prob_regime_1,prob_regime_2
2009-11-01,2,3.269125296144191e-46,5.921882620044201e-20,1.0
2009-12-01,2,7.65641466783499e-53,1.950987113898562e-38,1.0
2010-01-01,2,7.130946651952124e-47,3.227896161706938e-36,1.0
2010-02-01,2,2.0904422382608423e-35,1.4118891574127465e-32,1.0
2010-03-01,2,6.264469861603884e-27,9.703742437159551e-29,1.0
2010-04-01,2,4.036129242115496e-21,1.4247870520886389e-21,1.0
2010-05-01,2,8.189721648914575e-24,2.1984936705726494e-16,1.0
2010-06-01,2,7.76386902586998e-28,8.350498819814593e-16,1.0
2010-07-01,2,1.9037682905618224e-30,2.4888038509779168e-15,1.0
2010-08-01,2,4.7895148470408165e-31,1.8212197915250144e-16,1.0
2010-09-01,2,4.149257043653853e-30,3.904007359485554e-16,1.0
2010-10-01,2,3.294263323760768e-30,2.905823497476852e-14,1.0
2010-11-01,2,1.343258339208761e-29,3.0765858943376725e-15,1.0
2010-12-01,2,3.8659229060887375e-24,2.2968788501935073e-12,0.9999999999977263
2011-01-01,2,6.71467569625269e-20,6.678416324007092e-11,0.9999999999331521
2011-02-01,2,2.612783326024401e-16,1.8978850137170834e-08,0.9999999810211195
2011-03-01,2,7.690426718530745e-19,1.9950360969973245e-11,0.9999999999799911
2011-04-01,2,2.8586509429036303e-21,1.7844004598655572e-10,0.9999999998215117
2011-05-01,2,1.0839476483407714e-23,6.826901056283832e-14,1.0
2011-06-01,2,1.4895865300824489e-23,2.6321196224142153e-12,0.9999999999972715
2011-07-01,2,1.983015777534096e-32,4.259146186707815e-12,0.9999999999956799
2011-08-01,2,3.18104718285435e-42,1.112753709996931e-21,1.0
2011-09-01,2,7.463115079920402e-56,4.28489016645208e-22,1.0
2011-10-01,2,4.583014285896636e-58,1.873075422020221e-32,1.0
2011-11-01,2,1.0807724879210957e-65,2.595780740298759e-29,1.0
2011-12-01,2,2.996306060061702e-73,2.1844866416187006e-36,1.0
2012-01-01,2,7.587572359332558e-87,1.4415683958715013e-40,1.0
2012-02-01,2,1.0753739772312593e-86,1.8451071526186012e-54,1.0
2012-03-01,2,8.938064912826594e-86,1.8326611236917472e-48,1.0
2012-04-01,2,2.253252344778245e-93,9.291382727977274e-54,1.0
2012-05-01,2,4.5407866735576185e-91,7.277811591410912e-58,1.0
2012-06-01,2,2.7895247700317393e-78,2.8541455889635836e-50,1.0
2012-07-01,2,5.593697618554716e-63,7.131807455081124e-44,1.0
2012-08-01,2,1.3260624683609575e-51,1.5750164271917602e-32,1.0
2012-09-01,2,2.750312961208079e-57,1.098318970305373e-27,1.0
2012-10-01,2,1.1664056064020786e-59,8.326695904196984e-34,1.0
2012-11-01,2,1.2581159519862368e-64,1.686009615695507e-38,1.0
2012-12-01,2,3.968375695407448e-57,3.613666487336876e-36,1.0
2013-01-01,2,2.168480817170751e-41,1.9700123795387464e-30,1.0
2013-02-01,2,3.870297468489339e-43,3.386673552552551e-20,1.0
2013-03-01,2,2.5614263149585056e-42,1.7749489687803798e-28,1.0
2013-04-01,2,3.1974434236425284e-39,1.1459696937803448e-26,1.0
2013-05-01,2,4.503359336733238e-27,3.940681752745294e-21,1.0
2013-06-01,2,5.159239811923244e-22,5.322238057435033e-11,0.9999999999467946
2013-07-01,2,5.8671407402398885e-24,8.685508680102799e-14,1.0
2013-08-01,2,8.653052913954405e-28,1.6423205783231913e-15,1.0
2013-09-01,2,4.10977048999034e-27,4.700975095362734e-18,1.0
2013-10-01,2,2.790500903464685e-30,7.621761647296449e-16,1.0
2013-11-01,2,1.8086433352666098e-26,2.357265199921505e-16,1.0
2013-12-01,2,5.496048357225735e-25,5.573244831959348e-15,1.0
2014-01-01,2,6.686592339100799e-21,1.1104181767974564e-15,1.0
2014-02-01,2,2.932226654060258e-29,5.126375785668246e-14,1.0
2014-03-01,2,2.259255517443802e-28,1.3337620795040099e-17,1.0
2014-04-01,2,7.957904437483513e-37,5.906749536930752e-16,1.0
