date,N_i,N_mkt,H,CapH,S
2026-04-15 00:00:00+00:00,0.0029,0.359,0.00807799442896936,7.344162962012865,-0.10647
2026-04-16 00:00:00+00:00,0.0022,0.34199999999999997,0.006432748538011697,5.848376595480703,-0.16977
2026-04-17 00:00:00+00:00,0.0052,0.3152,0.01649746192893401,14.998778463029074,0.03231
2026-04-18 00:00:00+00:00,0.0028,0.3093,0.009052699644358227,8.230322763766157,0.27027999999999996
2026-04-19 00:00:00+00:00,0.0042,0.20980000000000001,0.020019065776930408,18.200468285268393,-0.09222
2026-04-20 00:00:00+00:00,0.0,0.27659999999999996,0.0,0.0,0.0
2026-04-21 00:00:00+00:00,0.0047,0.4192,0.011211832061068702,10.193312521226233,-0.034339999999999996
2026-04-22 00:00:00+00:00,0.0042,0.3913,0.01073345259391771,9.758390611421694,0.07999
2026-04-23 00:00:00+00:00,0.0028,0.41080000000000005,0.006815968841285296,6.1967839114724255,-0.22698999999999997
2026-04-24 00:00:00+00:00,0.0027,0.6197,0.004356946909795062,3.9611475848041424,-0.07033
2026-04-25 00:00:00+00:00,0.004,0.31629999999999997,0.012646221941195069,11.497397727441728,0.42367999999999995
2026-04-26 00:00:00+00:00,0.0009,0.268,0.00335820895522388,3.053138256595929,-0.20446
2026-04-27 00:00:00+00:00,0.0039,0.5398,0.007224898110411264,6.568564706669272,0.1083
2026-04-28 00:00:00+00:00,0.0014,0.6900999999999999,0.002028691493986379,1.8443985153114573,0.15642
2026-04-29 00:00:00+00:00,0.0012,0.6167999999999999,0.0019455252918287938,1.7687874033024409,-0.22091
2026-04-30 00:00:00+00:00,0.0028,0.6338,0.004417797412432944,4.016470228515104,0.17403
2026-05-01 00:00:00+00:00,0.0035,0.5458999999999999,0.006411430664956952,5.828995307823945,0.03488
2026-05-02 00:00:00+00:00,0.0038,0.3959000000000001,0.009598383430159129,8.726434847512824,0.00225
2026-05-03 00:00:00+00:00,0.0053,0.2213,0.02394938996836873,21.773748956513824,-0.09646
2026-05-04 00:00:00+00:00,0.0455,0.3693,0.1232060655293799,112.01362307347463,-0.14999
2026-05-05 00:00:00+00:00,0.0349,0.35669999999999996,0.09784132324081862,88.95309703639239,-0.27912
2026-05-06 00:00:00+00:00,0.0033,0.4624,0.007136678200692042,6.488358982442907,-0.14188
2026-05-07 00:00:00+00:00,0.0066,0.4225,0.015621301775147929,14.202211566776805,-0.08194
2026-05-08 00:00:00+00:00,0.0066,0.3397,0.01942890785987636,17.663922245991166,-0.15528
2026-05-09 00:00:00+00:00,0.0045,0.2941,0.015300918055083306,13.910932553004237,0.13805
2026-05-10 00:00:00+00:00,0.0009,0.2586,0.0034802784222737818,3.1641185335178235,-0.1476
2026-05-11 00:00:00+00:00,0.0026,0.3942,0.006595636732623034,5.99646749308316,-0.36862
2026-05-12 00:00:00+00:00,0.0193,0.43599999999999994,0.04426605504587157,40.24478164734146,-0.17831
2026-05-13 00:00:00+00:00,0.0118,0.42960000000000004,0.02746741154562383,24.97218193321686,-0.10490999999999999
2026-05-14 00:00:00+00:00,0.0089,0.45180000000000003,0.01969898185037627,17.90946183078208,-0.028210000000000002
2026-05-15 00:00:00+00:00,0.0058,0.43389999999999995,0.013367135284627796,12.152820941980265,-0.00601
2026-05-16 00:00:00+00:00,0.0021,0.31239999999999996,0.006722151088348272,6.1114888704374355,0.17699
2026-05-17 00:00:00+00:00,0.0028,0.3503,0.00799314872966029,7.267024923873459,0.27454999999999996
2026-05-18 00:00:00+00:00,0.003,0.5953,0.005039475894506971,4.581673401465419,0.22454999999999997
2026-05-19 00:00:00+00:00,0.0014,0.5125,0.002731707317073171,2.4835500788613394,-1.0
2026-05-20 00:00:00+00:00,0.0034,0.3879,0.00876514565609693,7.968891121452295,-0.18263000000000001
2026-05-21 00:00:00+00:00,0.0017,0.38199999999999995,0.004450261780104712,4.045985426716421,-0.01316
2026-05-22 00:00:00+00:00,0.0039,0.30910000000000004,0.01261727596247169,11.47108129621505,-0.08934
2026-05-23 00:00:00+00:00,0.0008,0.22699999999999998,0.0035242290748898684,3.2040765649249505,0.05566
2026-05-24 00:00:00+00:00,0.0,0.3007,0.0,0.0,0.0
2026-05-25 00:00:00+00:00,0.0007,0.3565,0.0019635343618513326,1.7851604704297848,0.06198
2026-05-26 00:00:00+00:00,0.0007,0.5168000000000001,0.001354489164086687,1.231442932871939,-0.05988
2026-05-27 00:00:00+00:00,0.0028,0.37500000000000006,0.007466666666666666,6.788370215554327,-0.04593
2026-05-28 00:00:00+00:00,0.0059,0.5458,0.010809820447050202,9.827820958693628,0.20541
2026-05-29 00:00:00+00:00,0.0056,0.42569999999999997,0.013154803852478272,11.959778392449484,-0.1059
2026-05-30 00:00:00+00:00,0.0022,0.4299,0.00511746917887881,4.652581520480113,0.04647
2026-05-31 00:00:00+00:00,0.0,0.3151,0.0,0.0,0.0
2026-06-01 00:00:00+00:00,0.0006,0.6489000000000001,0.0009246417013407302,0.8406442212644053,-0.03728
2026-06-02 00:00:00+00:00,0.0082,0.5401,0.015182373634512128,13.80315709579546,-0.25501
2026-06-03 00:00:00+00:00,0.025,0.6208,0.040270618556701034,36.61230369271322,-0.0429
2026-06-04 00:00:00+00:00,0.0173,0.4863,0.03557474809788196,32.343021483952214,-0.18397
2026-06-05 00:00:00+00:00,0.004,0.3234,0.012368583797155224,11.2449811415888,0.04648
2026-06-06 00:00:00+00:00,0.0039,0.26330000000000003,0.01481200151917964,13.466430796278285,0.21667999999999998
2026-06-07 00:00:00+00:00,0.0012,0.31889999999999996,0.0037629350893697085,3.421097743358249,0.30484
2026-06-08 00:00:00+00:00,0.0062,0.4153,0.014928967011798699,13.572770760520632,0.08579
2026-06-09 00:00:00+00:00,0.0006,0.4854,0.0012360939431396785,1.123803121504888,-0.21195
2026-06-10 00:00:00+00:00,0.0182,0.5697,0.03194663858170967,29.044501317208486,-0.09992
2026-06-11 00:00:00+00:00,0.0018,0.5186999999999999,0.0034702139965297864,3.154968393166413,-0.03225
2026-06-12 00:00:00+00:00,0.0025,0.3895,0.006418485237483953,5.8354090198809665,-0.050260000000000006
2026-06-13 00:00:00+00:00,0.0017,0.3747,0.004536962903656259,4.124810336284155,0.30904
2026-06-14 00:00:00+00:00,0.0026,0.3095,0.00840064620355412,7.637503992805757,-0.01661
2026-06-15 00:00:00+00:00,0.0016,0.3391,0.004718372161604247,4.289739783178789,0.20453000000000002
